GIRL-2 is committed to BOY-44
GIRL-3 is committed to BOY-12
GIRL-4 is committed to BOY-28
GIRL-6 is committed to BOY-2
GIRL-7 is committed to BOY-6
GIRL-8 is committed to BOY-43
GIRL-9 is committed to BOY-8
GIRL-10 is committed to BOY-27
GIRL-11 is committed to BOY-9
GIRL-12 is committed to BOY-11
GIRL-13 is committed to BOY-20
GIRL-14 is committed to BOY-5
GIRL-15 is committed to BOY-14
GIRL-16 is committed to BOY-45
GIRL-18 is committed to BOY-17
GIRL-19 is committed to BOY-1
GIRL-20 is committed to BOY-32
GIRL-22 is committed to BOY-19
GIRL-23 is committed to BOY-22
GIRL-24 is committed to BOY-33
GIRL-25 is committed to BOY-42
GIRL-1 is single
GIRL-5 is single
GIRL-17 is single
GIRL-21 is single
