BOY-1 1 3 80 8 Geek
BOY-2 2 2 84 7 Generous
BOY-3 3 9 195 3 Geek
BOY-4 2 9 176 4 Miser
BOY-5 6 6 311 0 Miser
BOY-6 6 9 34 7 Geek
BOY-7 8 6 280 4 Miser
BOY-8 2 1 231 4 Geek
BOY-9 4 5 191 9 Geek
BOY-10 9 10 497 0 Generous
BOY-11 6 4 453 2 Geek
BOY-12 9 3 75 1 Geek
BOY-13 4 0 413 4 Generous
BOY-14 2 9 420 8 Miser
BOY-15 5 10 278 8 Generous
BOY-16 9 9 436 2 Miser
BOY-17 6 7 431 4 Geek
BOY-18 4 1 359 5 Generous
BOY-19 10 1 99 10 Geek
BOY-20 0 9 234 3 Generous
BOY-21 6 7 274 5 Geek
BOY-22 2 4 425 6 Generous
BOY-23 1 6 209 2 Generous
BOY-24 2 10 234 9 Generous
BOY-25 4 9 332 2 Geek
BOY-26 8 4 500 4 Geek
BOY-27 2 8 157 1 Miser
BOY-28 6 8 106 2 Miser
BOY-29 9 10 391 6 Geek
BOY-30 9 0 72 2 Miser
BOY-31 7 2 479 6 Miser
BOY-32 9 0 19 3 Geek
BOY-33 9 0 22 6 Geek
BOY-34 3 4 483 3 Generous
BOY-35 0 10 396 0 Generous
BOY-36 7 7 463 1 Miser
BOY-37 8 5 413 1 Generous
BOY-38 10 7 288 2 Geek
BOY-39 5 6 349 3 Miser
BOY-40 0 7 130 0 Miser
BOY-41 6 0 430 10 Miser
BOY-42 8 1 370 3 Geek
BOY-43 9 7 393 3 Geek
BOY-44 6 8 409 2 Generous
BOY-45 7 4 19 4 Generous
BOY-46 6 10 303 3 Generous
BOY-47 10 10 32 7 Generous
BOY-48 5 7 79 4 Generous
BOY-49 7 4 340 3 Generous
BOY-50 3 1 422 10 Generous
