Utility 9 16 
Luxury 10 16 
Luxury 1 8 
Essential 16 12 
Luxury 3 13 
Luxury 8 13 
Utility 20 1 
Utility 20 7 
Luxury 5 2 
Essential 16 2 
Utility 8 7 
Essential 15 13 
Luxury 7 1 
Utility 13 9 
Essential 0 15 
Utility 8 2 
Utility 8 18 
Luxury 14 19 
Luxury 9 8 
Essential 6 5 
Utility 15 3 
Utility 18 3 
Essential 4 9 
Utility 6 16 
Essential 18 6 
Essential 6 2 
Utility 12 9 
Utility 17 9 
Luxury 8 14 
Utility 11 3 
Luxury 12 15 
Utility 3 13 
Luxury 14 4 
Essential 20 5 
Essential 7 16 
Utility 2 18 
Luxury 18 2 
Essential 8 1 
Essential 4 17 
Essential 8 6 
Utility 8 2 
Luxury 4 14 
Utility 7 13 
Utility 9 17 
Essential 10 13 
Luxury 6 3 
Utility 8 20 
Essential 11 16 
Utility 7 0 
Essential 18 6 
