GIRL-1 7 49 8 1 Normal
GIRL-2 0 140 0 3 Desperate
GIRL-3 10 169 4 2 Normal
GIRL-4 2 296 5 2 Desperate
GIRL-5 8 461 6 3 Normal
GIRL-6 0 264 9 1 Desperate
GIRL-7 9 248 5 1 Desperate
GIRL-8 3 383 6 2 Choosy
GIRL-9 10 24 2 2 Desperate
GIRL-10 1 82 6 2 Desperate
GIRL-11 3 398 2 3 Choosy
GIRL-12 4 326 8 3 Desperate
GIRL-13 10 188 5 1 Desperate
GIRL-14 9 109 3 1 Desperate
GIRL-15 3 433 1 1 Normal
GIRL-16 6 392 0 2 Choosy
GIRL-17 6 210 8 2 Choosy
GIRL-18 6 206 8 3 Normal
GIRL-19 2 417 0 1 Choosy
GIRL-20 9 237 3 3 Desperate
GIRL-21 0 241 1 1 Normal
GIRL-22 6 159 5 1 Normal
GIRL-23 7 55 8 3 Desperate
GIRL-24 1 229 1 3 Normal
GIRL-25 7 215 2 3 Normal
